Time,Date,Humidity (%),Temp (C)
921096,07-09-2021_15.57.25,69.0,26.7
921126,07-09-2021_15.57.55,69.0,26.6
921156,07-09-2021_15.58.25,69.0,26.6
921186,07-09-2021_15.58.55,69.0,26.6
921216,07-09-2021_15.59.25,69.1,26.7
921246,07-09-2021_15.59.55,69.2,26.7
921276,07-09-2021_16.00.25,69.3,26.6
921306,07-09-2021_16.00.55,69.5,26.7
921336,07-09-2021_16.01.25,69.4,26.6
921367,07-09-2021_16.01.55,69.5,26.7
921397,07-09-2021_16.02.25,69.4,26.6
921427,07-09-2021_16.02.55,69.3,26.6
921457,07-09-2021_16.03.25,69.3,26.6
921487,07-09-2021_16.03.55,69.3,26.6
921517,07-09-2021_16.04.25,69.3,26.6
921547,07-09-2021_16.04.55,69.4,26.7
921577,07-09-2021_16.05.25,69.5,26.7
921607,07-09-2021_16.05.55,69.4,26.6
921637,07-09-2021_16.06.25,69.4,26.6
921667,07-09-2021_16.06.55,69.4,26.6
921697,07-09-2021_16.07.25,69.7,26.7
921727,07-09-2021_16.07.55,69.7,26.6
921757,07-09-2021_16.08.25,69.6,26.6
921787,07-09-2021_16.08.55,69.5,26.6
921817,07-09-2021_16.09.25,69.7,26.6
921847,07-09-2021_16.09.56,69.7,26.6
921877,07-09-2021_16.10.26,69.7,26.6
921907,07-09-2021_16.10.56,69.7,26.7
921937,07-09-2021_16.11.26,69.7,26.6
921967,07-09-2021_16.11.56,69.8,26.7
921997,07-09-2021_16.12.26,69.9,26.7
922027,07-09-2021_16.12.56,69.8,26.7
922057,07-09-2021_16.13.26,70.0,26.7
922087,07-09-2021_16.13.56,70.1,26.7
922117,07-09-2021_16.14.26,70.1,26.7
922147,07-09-2021_16.14.56,70.2,26.7
922177,07-09-2021_16.15.26,70.2,26.7
922207,07-09-2021_16.15.56,70.2,26.7
922238,07-09-2021_16.16.26,70.2,26.7
922268,07-09-2021_16.16.56,70.2,26.7
922298,07-09-2021_16.17.26,70.3,26.7
922328,07-09-2021_16.17.56,70.3,26.7
922358,07-09-2021_16.18.26,70.3,26.7
922388,07-09-2021_16.18.56,70.3,26.7
922418,07-09-2021_16.19.26,70.4,26.7
922448,07-09-2021_16.19.56,70.4,26.7
922478,07-09-2021_16.20.26,70.4,26.7
922508,07-09-2021_16.20.56,70.5,26.7
922538,07-09-2021_16.21.26,70.4,26.7
922568,07-09-2021_16.21.56,70.4,26.7
922598,07-09-2021_16.22.26,70.4,26.7
922628,07-09-2021_16.22.56,70.4,26.7
922658,07-09-2021_16.23.27,70.5,26.7
922688,07-09-2021_16.23.57,70.5,26.7
922718,07-09-2021_16.24.27,70.5,26.7
922748,07-09-2021_16.24.57,70.5,26.7
922778,07-09-2021_16.25.27,70.5,26.7
922808,07-09-2021_16.25.57,70.5,26.7
922838,07-09-2021_16.26.27,70.5,26.7
922868,07-09-2021_16.26.57,70.5,26.7
922898,07-09-2021_16.27.27,70.5,26.6
922928,07-09-2021_16.27.57,70.6,26.7
922958,07-09-2021_16.28.27,70.5,26.7
922988,07-09-2021_16.28.57,70.5,26.7
923018,07-09-2021_16.29.27,70.5,26.7
923048,07-09-2021_16.29.57,70.5,26.6
923079,07-09-2021_16.30.27,70.6,26.7
923109,07-09-2021_16.30.57,70.6,26.7
923139,07-09-2021_16.31.27,70.5,26.7
923169,07-09-2021_16.31.57,70.4,26.7
923199,07-09-2021_16.32.27,70.4,26.7
923229,07-09-2021_16.32.57,70.5,26.7
923259,07-09-2021_16.33.27,70.5,26.7
923289,07-09-2021_16.33.57,70.4,26.6
923319,07-09-2021_16.34.27,70.5,26.6
923349,07-09-2021_16.34.57,70.5,26.6
923379,07-09-2021_16.35.27,70.5,26.6
923409,07-09-2021_16.35.57,70.5,26.6
923439,07-09-2021_16.36.27,70.5,26.6
923469,07-09-2021_16.36.57,70.5,26.6
923499,07-09-2021_16.37.27,70.5,26.6
923529,07-09-2021_16.37.57,70.6,26.6
923559,07-09-2021_16.38.28,70.6,26.6
923589,07-09-2021_16.38.58,70.6,26.6
923619,07-09-2021_16.39.28,70.6,26.6
923649,07-09-2021_16.39.58,70.6,26.6
923679,07-09-2021_16.40.28,70.6,26.6
923709,07-09-2021_16.40.58,70.6,26.5
923739,07-09-2021_16.41.28,70.7,26.6
923769,07-09-2021_16.41.58,70.6,26.5
923799,07-09-2021_16.42.28,70.6,26.5
923829,07-09-2021_16.42.58,70.7,26.5
923859,07-09-2021_16.43.28,70.7,26.5
923889,07-09-2021_16.43.58,70.7,26.5
923919,07-09-2021_16.44.28,70.7,26.5
923950,07-09-2021_16.44.58,70.8,26.5
923980,07-09-2021_16.45.28,70.8,26.5
924010,07-09-2021_16.45.58,70.8,26.5
924040,07-09-2021_16.46.28,70.8,26.5
924070,07-09-2021_16.46.58,70.8,26.5
924100,07-09-2021_16.47.28,70.7,26.4
924130,07-09-2021_16.47.58,70.7,26.4
924160,07-09-2021_16.48.28,70.7,26.4
924190,07-09-2021_16.48.58,70.8,26.4
924220,07-09-2021_16.49.28,70.8,26.4
924250,07-09-2021_16.49.58,70.8,26.4
924280,07-09-2021_16.50.28,70.9,26.4
924310,07-09-2021_16.50.58,70.8,26.4
924340,07-09-2021_16.51.28,70.9,26.4
924370,07-09-2021_16.51.58,71.0,26.4
924400,07-09-2021_16.52.29,71.0,26.4
924430,07-09-2021_16.52.59,71.0,26.4
924460,07-09-2021_16.53.29,71.0,26.4
924490,07-09-2021_16.53.59,71.0,26.4
924520,07-09-2021_16.54.29,71.1,26.4
924550,07-09-2021_16.54.59,71.1,26.4
924580,07-09-2021_16.55.29,71.1,26.4
924610,07-09-2021_16.55.59,71.1,26.4
924640,07-09-2021_16.56.29,71.1,26.4
924670,07-09-2021_16.56.59,71.1,26.4
924700,07-09-2021_16.57.29,71.1,26.4
924730,07-09-2021_16.57.59,71.1,26.4
924760,07-09-2021_16.58.29,71.1,26.4
924791,07-09-2021_16.58.59,71.1,26.4
924821,07-09-2021_16.59.29,71.1,26.4
924851,07-09-2021_16.59.59,71.2,26.4
924881,07-09-2021_17.00.29,71.3,26.4
924911,07-09-2021_17.00.59,71.4,26.4
924941,07-09-2021_17.01.29,71.5,26.4
924971,07-09-2021_17.01.59,71.7,26.4
925001,07-09-2021_17.02.29,71.9,26.3
925031,07-09-2021_17.02.59,72.9,26.4
925061,07-09-2021_17.03.29,73.1,26.3
925091,07-09-2021_17.03.59,73.3,26.3
925121,07-09-2021_17.04.29,73.6,26.3
925151,07-09-2021_17.04.59,74.0,26.3
925181,07-09-2021_17.05.29,74.2,26.3
925211,07-09-2021_17.06.00,74.5,26.3
925241,07-09-2021_17.06.30,75.2,26.3
925271,07-09-2021_17.07.00,75.6,26.3
925301,07-09-2021_17.07.30,76.0,26.3
925331,07-09-2021_17.08.00,76.6,26.3
925361,07-09-2021_17.08.30,77.6,26.2
925391,07-09-2021_17.09.00,77.3,26.2
925421,07-09-2021_17.09.30,77.5,26.2
925451,07-09-2021_17.10.00,77.6,26.2
925481,07-09-2021_17.10.30,78.2,26.2
925511,07-09-2021_17.11.00,78.2,26.2
925541,07-09-2021_17.11.30,77.9,26.1
925572,07-09-2021_17.12.00,78.3,26.1
925602,07-09-2021_17.12.30,78.9,26.1
925632,07-09-2021_17.13.00,79.1,26.1
925662,07-09-2021_17.13.30,79.1,26.1
925692,07-09-2021_17.14.00,78.9,26.1
925722,07-09-2021_17.14.30,78.7,26.0
925752,07-09-2021_17.15.00,78.8,26.0
925782,07-09-2021_17.15.30,78.8,26.0
925812,07-09-2021_17.16.00,78.8,26.0
925842,07-09-2021_17.16.30,78.9,25.9
925872,07-09-2021_17.17.00,78.7,25.9
925902,07-09-2021_17.17.30,78.7,25.9
925932,07-09-2021_17.18.00,78.6,25.9
925962,07-09-2021_17.18.30,78.6,25.9
925992,07-09-2021_17.19.00,78.7,25.9
926022,07-09-2021_17.19.31,79.2,25.9
926052,07-09-2021_17.20.01,79.3,25.9
926082,07-09-2021_17.20.31,79.4,25.9
926112,07-09-2021_17.21.01,79.4,25.9
926142,07-09-2021_17.21.31,79.5,25.9
926172,07-09-2021_17.22.01,79.5,25.9
926202,07-09-2021_17.22.31,79.5,25.9
926232,07-09-2021_17.23.01,79.5,25.9
926262,07-09-2021_17.23.31,79.6,25.8
926292,07-09-2021_17.24.01,80.0,25.8
926322,07-09-2021_17.24.31,80.0,25.8
926352,07-09-2021_17.25.01,80.1,25.8
926383,07-09-2021_17.25.31,80.2,25.9
926413,07-09-2021_17.26.01,80.1,25.9
926443,07-09-2021_17.26.31,80.0,25.9
926473,07-09-2021_17.27.01,80.0,25.9
926503,07-09-2021_17.27.31,80.1,25.9
926533,07-09-2021_17.28.01,80.0,25.9
926563,07-09-2021_17.28.31,79.9,25.8
926593,07-09-2021_17.29.01,79.7,25.9
926623,07-09-2021_17.29.31,79.5,25.8
926653,07-09-2021_17.30.01,79.3,25.9
926683,07-09-2021_17.30.31,79.0,25.8
926713,07-09-2021_17.31.01,78.8,25.8
926743,07-09-2021_17.31.31,78.7,25.8
926773,07-09-2021_17.32.01,78.8,25.8
926803,07-09-2021_17.32.31,78.5,25.8
926833,07-09-2021_17.33.02,78.5,25.8
926863,07-09-2021_17.33.32,78.5,25.8
926893,07-09-2021_17.34.02,78.6,25.8
926923,07-09-2021_17.34.32,78.7,25.8
926953,07-09-2021_17.35.02,78.5,25.8
926983,07-09-2021_17.35.32,78.4,25.8
927013,07-09-2021_17.36.02,78.3,25.8
927043,07-09-2021_17.36.32,78.4,25.8
927073,07-09-2021_17.37.02,78.5,25.8
927103,07-09-2021_17.37.32,78.3,25.8
927133,07-09-2021_17.38.02,78.3,25.8
927163,07-09-2021_17.38.32,78.5,25.8
927194,07-09-2021_17.39.02,78.5,25.8
927224,07-09-2021_17.39.32,78.5,25.8
927254,07-09-2021_17.40.02,78.6,25.8
927284,07-09-2021_17.40.32,78.7,25.9
927314,07-09-2021_17.41.02,78.6,25.8
927344,07-09-2021_17.41.32,78.7,25.9
927374,07-09-2021_17.42.02,78.5,25.8
927404,07-09-2021_17.42.32,78.8,25.9
927434,07-09-2021_17.43.02,79.0,25.9
927464,07-09-2021_17.43.32,79.1,25.9
927494,07-09-2021_17.44.02,79.1,25.9
927524,07-09-2021_17.44.32,79.0,25.9
927554,07-09-2021_17.45.02,78.9,25.9
927584,07-09-2021_17.45.32,78.9,25.9
927614,07-09-2021_17.46.03,78.8,25.9
927644,07-09-2021_17.46.33,78.8,25.9
927674,07-09-2021_17.47.03,78.8,25.9
927704,07-09-2021_17.47.33,78.8,25.9
927734,07-09-2021_17.48.03,78.7,25.9
927764,07-09-2021_17.48.33,78.7,25.8
927794,07-09-2021_17.49.03,78.8,25.9
927824,07-09-2021_17.49.33,78.9,25.9
927854,07-09-2021_17.50.03,78.8,25.8
927884,07-09-2021_17.50.33,78.8,25.8
927914,07-09-2021_17.51.03,78.9,25.9
927944,07-09-2021_17.51.33,78.9,25.9
927974,07-09-2021_17.52.03,78.8,25.9
928005,07-09-2021_17.52.33,78.7,25.9
928035,07-09-2021_17.53.03,78.6,25.9
928065,07-09-2021_17.53.33,78.6,25.9
928095,07-09-2021_17.54.03,78.6,25.9
928125,07-09-2021_17.54.33,78.6,25.9
928155,07-09-2021_17.55.03,78.5,25.9
928185,07-09-2021_17.55.33,78.4,25.9
928215,07-09-2021_17.56.03,78.6,25.9
928245,07-09-2021_17.56.33,78.6,25.9
928275,07-09-2021_17.57.03,78.6,25.9
928305,07-09-2021_17.57.33,78.5,25.9
928335,07-09-2021_17.58.03,78.4,25.9
928365,07-09-2021_17.58.33,78.3,25.9
928395,07-09-2021_17.59.03,78.2,25.9
928425,07-09-2021_17.59.34,78.2,25.9
928455,07-09-2021_18.00.04,78.4,25.9
928485,07-09-2021_18.00.34,78.5,25.9
928515,07-09-2021_18.01.04,78.6,25.9
928545,07-09-2021_18.01.34,78.6,25.9
928575,07-09-2021_18.02.04,78.6,25.9
928605,07-09-2021_18.02.34,78.7,25.9
928635,07-09-2021_18.03.04,78.7,25.9
928665,07-09-2021_18.03.34,78.8,25.9
928695,07-09-2021_18.04.04,78.9,25.9
928725,07-09-2021_18.04.34,78.9,25.9
928755,07-09-2021_18.05.04,78.9,25.9
928785,07-09-2021_18.05.34,78.9,25.9
928815,07-09-2021_18.06.04,79.1,25.9
928846,07-09-2021_18.06.34,79.2,25.9
928876,07-09-2021_18.07.04,79.2,25.9
928906,07-09-2021_18.07.34,79.0,25.9
928936,07-09-2021_18.08.04,78.8,25.9
928966,07-09-2021_18.08.34,78.7,25.9
928996,07-09-2021_18.09.04,78.7,25.9
929026,07-09-2021_18.09.34,78.7,25.9
929056,07-09-2021_18.10.04,78.6,25.9
929086,07-09-2021_18.10.34,78.6,25.9
929116,07-09-2021_18.11.04,78.5,25.9
929146,07-09-2021_18.11.34,78.5,25.9
929176,07-09-2021_18.12.04,78.5,25.9
929206,07-09-2021_18.12.34,78.6,25.9
929236,07-09-2021_18.13.04,78.7,25.9
929266,07-09-2021_18.13.35,78.7,25.9
929296,07-09-2021_18.14.05,78.7,25.9
929326,07-09-2021_18.14.35,78.7,25.9
929356,07-09-2021_18.15.05,78.7,25.9
929386,07-09-2021_18.15.35,78.7,25.9
929416,07-09-2021_18.16.05,78.5,25.9
929446,07-09-2021_18.16.35,78.3,25.9
929476,07-09-2021_18.17.05,78.2,25.9
929506,07-09-2021_18.17.35,78.2,25.9
929536,07-09-2021_18.18.05,78.2,25.9
929566,07-09-2021_18.18.35,78.1,25.9
929596,07-09-2021_18.19.05,78.2,25.9
929627,07-09-2021_18.19.35,78.3,25.9
929657,07-09-2021_18.20.05,78.3,25.9
929687,07-09-2021_18.20.35,78.4,25.9
929717,07-09-2021_18.21.05,78.5,25.9
929747,07-09-2021_18.21.35,78.5,25.9
929777,07-09-2021_18.22.05,78.6,25.9
929807,07-09-2021_18.22.35,78.6,25.9
929837,07-09-2021_18.23.05,78.2,25.8
929867,07-09-2021_18.23.35,78.3,25.9
929897,07-09-2021_18.24.05,78.3,25.9
929927,07-09-2021_18.24.35,78.4,25.8
929957,07-09-2021_18.25.05,78.4,25.8
929987,07-09-2021_18.25.35,78.3,25.8
930017,07-09-2021_18.26.05,78.2,25.9
